20 # total generations
20 # population p1
20 # population p2
0.10064 0.281474 0 1
0.876194 0.576049 0 1
0.00417238 0.0532355 0 1
0.311525 0.431384 0 1
0.851698 0.053025 0 1
0.188364 0.60457 0 1
0.724991 0.937205 0 1
0.26469 0.387976 0 1
0.824371 0.887335 0 1
0.653058 0.498782 0 1
0.349601 0.0543944 0 1
0.195861 0.68068 0 1
0.316502 0.0448311 0 1
0.255719 0.0854818 0 1
0.385371 0.801227 0 1
0.315424 0.100953 0 1
0.18186 0.98989 0 1
0.759347 0.573638 0 1
0.27273 0.855512 0 1
0.96245 0.515947 0 1
0.944428 0.789323 0 21
0.649905 0.0961506 0 21
0.584228 0.896219 0 21
0.795204 0.182976 0 21
0.816348 0.576749 0 21
0.989588 0.169289 0 21
0.0953597 0.213139 0 21
0.901324 0.428493 0 21
0.516626 0.686598 0 21
0.583692 0.826513 0 21
0.920632 0.467494 0 21
0.919142 0.270339 0 21
0.37545 0.957573 0 21
0.431383 0.241028 0 21
0.3786 0.0872726 0 21
0.153118 0.864756 0 21
0.200642 0.223586 0 21
0.962137 0.376157 0 21
0.509465 0.63514 0 21
0.400607 0.129432 0 21
0.759347 0.573638 13.197 2
0.876194 0.576049 12.6483 2
0.724991 0.937205 12.3558 2
0.653058 0.498782 11.9434 2
0.385371 0.801227 11.4507 2
0.96245 0.515947 11.0929 2
0.851698 0.053025 9.30211 2
0.27273 0.855512 9.24439 2
0.195861 0.68068 8.48753 2
0.311525 0.431384 8.1739 2
0.84054 0.880298 0 2
0.360423 0.911964 0 2
0.827725 0.845755 0 2
0.253782 0.377603 0 2
0.281545 0.871435 0 2
0.81097 0.857379 0 2
0.808197 0.857189 0 2
0.211112 0.633872 0 2
0.820424 0.0583449 0 2
0.810306 0.69623 0 2
0.0953597 0.213139 11.3851 22
0.431383 0.241028 10.7127 22
0.400607 0.129432 10.5786 22
0.3786 0.0872726 10.387 22
0.649905 0.0961506 7.66524 22
0.795204 0.182976 7.48537 22
0.153118 0.864756 7.38996 22
0.509465 0.63514 6.8503 22
0.516626 0.686598 6.24334 22
0.919142 0.270339 5.89682 22
0.3483 0.1174 0 22
0.195253 0.244242 0 22
0.192215 0.226236 0 22
0.641518 0.215099 0 22
0.23316 0.21878 0 22
0.190887 0.133023 0 22
0.224497 0.073943 0 22
0.210632 0.477504 0 22
0.200489 0.868879 0 22
0.201106 0.115074 0 22
0.808197 0.857189 3.02539 3
0.81097 0.857379 2.97509 3
0.827725 0.845755 2.85189 3
0.759347 0.573638 2.77793 3
0.385371 0.801227 2.7223 3
0.653058 0.498782 2.26546 3
0.84054 0.880298 2.1217 3
0.876194 0.576049 1.68707 3
0.724991 0.937205 1.61564 3
0.27273 0.855512 1.35166 3
0.815819 0.673395 0 3
0.825404 0.914976 0 3
0.785146 0.659797 0 3
0.721891 0.687913 0 3
0.214479 0.695769 0 3
0.329121 0.419816 0 3
0.840417 0.714035 0 3
0.833501 0.583871 0 3
0.861242 0.712563 0 3
0.22046 0.639506 0 3
0.192215 0.226236 4.54381 23
0.195253 0.244242 4.51507 23
0.210632 0.477504 3.97007 23
0.190887 0.133023 3.68752 23
0.201106 0.115074 3.60171 23
0.431383 0.241028 3.2148 23
0.224497 0.073943 2.96301 23
0.0953597 0.213139 2.93895 23
0.3483 0.1174 2.8288 23
0.400607 0.129432 2.60511 23
0.233339 0.123648 0 23
0.203191 0.265939 0 23
0.38716 0.21495 0 23
0.20259 0.101979 0 23
0.239266 0.248584 0 23
0.205563 0.240807 0 23
0.194708 0.239422 0 23
0.479544 0.213269 0 23
0.199323 0.305567 0 23
0.05514 0.201492 0 23
0.329121 0.419816 2.54799 4
0.214479 0.695769 2.41141 4
0.22046 0.639506 2.32639 4
0.785146 0.659797 2.02381 4
0.759347 0.573638 1.89115 4
0.721891 0.687913 1.86178 4
0.27273 0.855512 1.84559 4
0.815819 0.673395 1.83366 4
0.653058 0.498782 1.79012 4
0.840417 0.714035 1.50749 4
0.307375 0.802296 0 4
0.841517 0.818749 0 4
0.262387 0.831338 0 4
0.725758 0.674383 0 4
0.384242 0.777406 0 4
0.651546 0.79824 0 4
0.391071 0.785703 0 4
0.286771 0.813802 0 4
0.41072 0.678442 0 4
0.371624 0.837707 0 4
0.203191 0.265939 2.29794 24
0.194708 0.239422 2.28337 24
0.192215 0.226236 2.28 24
0.195253 0.244242 2.27922 24
0.210632 0.477504 2.27569 24
0.199323 0.305567 2.22565 24
0.239266 0.248584 2.18605 24
0.38716 0.21495 1.61211 24
0.431383 0.241028 1.31819 24
0.479544 0.213269 1.23312 24
0.386856 0.262094 0 24
0.159544 0.182846 0 24
0.23891 0.221005 0 24
0.372068 0.243737 0 24
0.23745 0.213688 0 24
0.247772 0.507002 0 24
0.216103 0.254174 0 24
0.230862 0.230962 0 24
0.230953 0.236739 0 24
0.224206 0.127007 0 24
0.307375 0.802296 1.3816 5
0.391071 0.785703 1.31416 5
0.384242 0.777406 1.29885 5
0.286771 0.813802 1.21087 5
0.214479 0.695769 1.09244 5
0.22046 0.639506 1.08503 5
0.41072 0.678442 0.982476 5
